plan_key,operation,database_fragment_id,source_key,date,existing_sequence,proposed_sequence,planning_order,resolution,content_action,database_image_candidate,target_fragment_type,type_basis,marquee_action,page_id,page_resolution,execution_stage,place_after,image_reference,inventory_classification,embedded_image_count,reviewed_by,reviewed_at,reason
database:4,RETAIN_EXISTING,4,fragments/1828/01/01-img2833-right,1828-01-01,1,1,1,AUTO_MATCHED_EXACT,MATCHED_CONTENT,false,MARQUEE,NO_EMBEDDED_IMAGE,KEEP_EXISTING,685,INVENTORY_MARQUEE,SAFE_TYPED_FRAGMENT_STAGE,,,ORDINARY_MARQUEE_CANDIDATE,0,,,
database:5,RETAIN_EXISTING,5,fragments/1828/01/01-img2834-left,1828-01-01,2,2,2,AUTO_MATCHED_EXACT,MATCHED_CONTENT,false,MARQUEE,NO_EMBEDDED_IMAGE,KEEP_EXISTING,686,INVENTORY_MARQUEE,SAFE_TYPED_FRAGMENT_STAGE,,,ORDINARY_MARQUEE_CANDIDATE,0,,,
database:1,RETAIN_EXISTING,1,fragments/1828/01/01-dc-highlights-1828,1828-01-01,3,3,3,AUTO_MATCHED_EXACT,MATCHED_CONTENT,false,MARQUEE,NO_EMBEDDED_IMAGE,KEEP_ABSENT,,UNRESOLVED,SAFE_TYPED_FRAGMENT_STAGE,,,ORPHAN_OR_INCONSISTENT,0,,,
database:2,RETAIN_EXISTING,2,fragments/1828/01/01-dn-img2832-introduction-1,1828-01-01,4,4,4,AUTO_MATCHED_EXACT,MATCHED_CONTENT,false,MARQUEE,NO_EMBEDDED_IMAGE,KEEP_ABSENT,,UNRESOLVED,SAFE_TYPED_FRAGMENT_STAGE,,,ORPHAN_OR_INCONSISTENT,0,,,
database:3,RETAIN_EXISTING,3,fragments/1828/01/01-do-img2832-introduction-2,1828-01-01,5,5,5,AUTO_MATCHED_EXACT,MATCHED_CONTENT,false,MARQUEE,NO_EMBEDDED_IMAGE,KEEP_ABSENT,,UNRESOLVED,SAFE_TYPED_FRAGMENT_STAGE,,,ORPHAN_OR_INCONSISTENT,0,,,
database:6,RETAIN_EXISTING,6,fragments/1828/01/02-img2834-right,1828-01-02,1,1,1,AUTO_MATCHED_EXACT,MATCHED_CONTENT,false,MARQUEE,NO_EMBEDDED_IMAGE,KEEP_EXISTING,686,INVENTORY_MARQUEE,SAFE_TYPED_FRAGMENT_STAGE,,,ORDINARY_MARQUEE_CANDIDATE,0,,,
database:7,RETAIN_EXISTING,7,fragments/1828/01/03-img2834-right,1828-01-03,1,1,1,AUTO_MATCHED_EXACT,MATCHED_CONTENT,false,MARQUEE,NO_EMBEDDED_IMAGE,KEEP_EXISTING,686,INVENTORY_MARQUEE,SAFE_TYPED_FRAGMENT_STAGE,,,ORDINARY_MARQUEE_CANDIDATE,0,,,
database:8,RETAIN_EXISTING,8,fragments/1828/01/04-img2834-right,1828-01-04,1,1,1,AUTO_MATCHED_EXACT,MATCHED_CONTENT,false,MARQUEE,NO_EMBEDDED_IMAGE,KEEP_EXISTING,686,INVENTORY_MARQUEE,SAFE_TYPED_FRAGMENT_STAGE,,,ORDINARY_MARQUEE_CANDIDATE,0,,,
database:9,RETAIN_EXISTING,9,fragments/1828/01/05-img2834-right,1828-01-05,1,1,1,AUTO_MATCHED_EXACT,MATCHED_CONTENT,false,MARQUEE,NO_EMBEDDED_IMAGE,KEEP_EXISTING,686,INVENTORY_MARQUEE,SAFE_TYPED_FRAGMENT_STAGE,,,ORDINARY_MARQUEE_CANDIDATE,0,,,
database:10,RETAIN_EXISTING,10,fragments/1828/01/06-img2835-left,1828-01-06,1,1,1,AUTO_MATCHED_EXACT,MATCHED_CONTENT,false,MARQUEE,NO_EMBEDDED_IMAGE,KEEP_EXISTING,687,INVENTORY_MARQUEE,SAFE_TYPED_FRAGMENT_STAGE,,,ORDINARY_MARQUEE_CANDIDATE,0,,,
database:11,RETAIN_EXISTING,11,fragments/1828/01/07-img2835-left,1828-01-07,1,1,1,AUTO_MATCHED_EXACT,MATCHED_CONTENT,false,MARQUEE,NO_EMBEDDED_IMAGE,KEEP_EXISTING,687,INVENTORY_MARQUEE,SAFE_TYPED_FRAGMENT_STAGE,,,ORDINARY_MARQUEE_CANDIDATE,0,,,
database:12,RETAIN_EXISTING,12,fragments/1828/01/08-img2835-left,1828-01-08,1,1,1,AUTO_MATCHED_EXACT,MATCHED_CONTENT,false,MARQUEE,NO_EMBEDDED_IMAGE,KEEP_EXISTING,687,INVENTORY_MARQUEE,SAFE_TYPED_FRAGMENT_STAGE,,,ORDINARY_MARQUEE_CANDIDATE,0,,,
database:13,RETAIN_EXISTING,13,fragments/1828/01/09-img2835-left,1828-01-09,1,1,1,AUTO_MATCHED_EXACT,MATCHED_CONTENT,false,MARQUEE,NO_EMBEDDED_IMAGE,KEEP_EXISTING,687,INVENTORY_MARQUEE,SAFE_TYPED_FRAGMENT_STAGE,,,ORDINARY_MARQUEE_CANDIDATE,0,,,
database:14,RETAIN_EXISTING,14,fragments/1828/01/10-img2835-left,1828-01-10,1,1,1,AUTO_MATCHED_EXACT,MATCHED_CONTENT,false,MARQUEE,NO_EMBEDDED_IMAGE,KEEP_EXISTING,687,INVENTORY_MARQUEE,SAFE_TYPED_FRAGMENT_STAGE,,,ORDINARY_MARQUEE_CANDIDATE,0,,,
database:15,RETAIN_EXISTING,15,fragments/1828/01/11-img2835-left,1828-01-11,1,1,1,AUTO_MATCHED_EXACT,MATCHED_CONTENT,false,MARQUEE,NO_EMBEDDED_IMAGE,KEEP_EXISTING,687,INVENTORY_MARQUEE,SAFE_TYPED_FRAGMENT_STAGE,,,ORDINARY_MARQUEE_CANDIDATE,0,,,
database:16,RETAIN_EXISTING,16,fragments/1828/01/12-img2835-right,1828-01-12,1,1,1,AUTO_MATCHED_EXACT,MATCHED_CONTENT,false,MARQUEE,NO_EMBEDDED_IMAGE,KEEP_EXISTING,687,INVENTORY_MARQUEE,SAFE_TYPED_FRAGMENT_STAGE,,,ORDINARY_MARQUEE_CANDIDATE,0,,,
database:17,RETAIN_EXISTING,17,fragments/1828/01/13-img2835-right,1828-01-13,1,1,1,AUTO_MATCHED_EXACT,MATCHED_CONTENT,false,MARQUEE,NO_EMBEDDED_IMAGE,KEEP_EXISTING,687,INVENTORY_MARQUEE,SAFE_TYPED_FRAGMENT_STAGE,,,ORDINARY_MARQUEE_CANDIDATE,0,,,
database:18,RETAIN_EXISTING,18,fragments/1828/01/14-img2835-right,1828-01-14,1,1,1,AUTO_MATCHED_EXACT,MATCHED_CONTENT,false,MARQUEE,NO_EMBEDDED_IMAGE,KEEP_EXISTING,687,INVENTORY_MARQUEE,SAFE_TYPED_FRAGMENT_STAGE,,,ORDINARY_MARQUEE_CANDIDATE,0,,,
database:19,RETAIN_EXISTING,19,fragments/1828/01/15-img2835-right,1828-01-15,1,1,1,AUTO_MATCHED_EXACT,MATCHED_CONTENT,false,MARQUEE,NO_EMBEDDED_IMAGE,KEEP_EXISTING,687,INVENTORY_MARQUEE,SAFE_TYPED_FRAGMENT_STAGE,,,ORDINARY_MARQUEE_CANDIDATE,0,,,
database:20,RETAIN_EXISTING,20,fragments/1828/01/16-img2835-right,1828-01-16,1,1,1,AUTO_MATCHED_EXACT,MATCHED_CONTENT,false,MARQUEE,NO_EMBEDDED_IMAGE,KEEP_EXISTING,687,INVENTORY_MARQUEE,SAFE_TYPED_FRAGMENT_STAGE,,,ORDINARY_MARQUEE_CANDIDATE,0,,,
database:21,RETAIN_EXISTING,21,fragments/1828/01/17-img2836-left,1828-01-17,1,1,1,AUTO_MATCHED_EXACT,MATCHED_CONTENT,false,MARQUEE,NO_EMBEDDED_IMAGE,KEEP_EXISTING,688,INVENTORY_MARQUEE,SAFE_TYPED_FRAGMENT_STAGE,,,ORDINARY_MARQUEE_CANDIDATE,0,,,
database:22,RETAIN_EXISTING,22,fragments/1828/01/18-img2836-left,1828-01-18,1,1,1,AUTO_MATCHED_EXACT,MATCHED_CONTENT,false,MARQUEE,NO_EMBEDDED_IMAGE,KEEP_EXISTING,688,INVENTORY_MARQUEE,SAFE_TYPED_FRAGMENT_STAGE,,,ORDINARY_MARQUEE_CANDIDATE,0,,,
database:23,RETAIN_EXISTING,23,fragments/1828/01/19-img2836-left,1828-01-19,1,1,1,AUTO_MATCHED_EXACT,MATCHED_CONTENT,false,MARQUEE,NO_EMBEDDED_IMAGE,KEEP_EXISTING,688,INVENTORY_MARQUEE,SAFE_TYPED_FRAGMENT_STAGE,,,ORDINARY_MARQUEE_CANDIDATE,0,,,
database:24,RETAIN_EXISTING,24,fragments/1828/01/20-img2836-left,1828-01-20,1,1,1,AUTO_MATCHED_EXACT,MATCHED_CONTENT,false,MARQUEE,NO_EMBEDDED_IMAGE,KEEP_EXISTING,688,INVENTORY_MARQUEE,SAFE_TYPED_FRAGMENT_STAGE,,,ORDINARY_MARQUEE_CANDIDATE,0,,,
database:25,RETAIN_EXISTING,25,fragments/1828/01/21-img2836-left,1828-01-21,1,1,1,AUTO_MATCHED_EXACT,MATCHED_CONTENT,false,MARQUEE,NO_EMBEDDED_IMAGE,KEEP_EXISTING,688,INVENTORY_MARQUEE,SAFE_TYPED_FRAGMENT_STAGE,,,ORDINARY_MARQUEE_CANDIDATE,0,,,
database:26,RETAIN_EXISTING,26,fragments/1828/01/22-img2836-right,1828-01-22,1,1,1,AUTO_MATCHED_EXACT,MATCHED_CONTENT,false,MARQUEE,NO_EMBEDDED_IMAGE,KEEP_EXISTING,688,INVENTORY_MARQUEE,SAFE_TYPED_FRAGMENT_STAGE,,,ORDINARY_MARQUEE_CANDIDATE,0,,,
database:27,RETAIN_EXISTING,27,fragments/1828/01/23-img2836-right,1828-01-23,1,1,1,AUTO_MATCHED_EXACT,MATCHED_CONTENT,false,MARQUEE,NO_EMBEDDED_IMAGE,KEEP_EXISTING,688,INVENTORY_MARQUEE,SAFE_TYPED_FRAGMENT_STAGE,,,ORDINARY_MARQUEE_CANDIDATE,0,,,
database:28,RETAIN_EXISTING,28,fragments/1828/01/24-img2836-right,1828-01-24,1,1,1,AUTO_MATCHED_EXACT,MATCHED_CONTENT,false,MARQUEE,NO_EMBEDDED_IMAGE,KEEP_EXISTING,688,INVENTORY_MARQUEE,SAFE_TYPED_FRAGMENT_STAGE,,,ORDINARY_MARQUEE_CANDIDATE,0,,,
database:29,RETAIN_EXISTING,29,fragments/1828/01/25-img2836-right,1828-01-25,1,1,1,AUTO_MATCHED_EXACT,MATCHED_CONTENT,false,MARQUEE,NO_EMBEDDED_IMAGE,KEEP_EXISTING,688,INVENTORY_MARQUEE,SAFE_TYPED_FRAGMENT_STAGE,,,ORDINARY_MARQUEE_CANDIDATE,0,,,
database:30,RETAIN_EXISTING,30,fragments/1828/01/26-img2836-right,1828-01-26,1,1,1,AUTO_MATCHED_EXACT,MATCHED_CONTENT,false,MARQUEE,NO_EMBEDDED_IMAGE,KEEP_EXISTING,688,INVENTORY_MARQUEE,SAFE_TYPED_FRAGMENT_STAGE,,,ORDINARY_MARQUEE_CANDIDATE,0,,,
database:31,RETAIN_EXISTING,31,fragments/1828/01/27-img2836-right,1828-01-27,1,1,1,AUTO_MATCHED_EXACT,MATCHED_CONTENT,false,MARQUEE,NO_EMBEDDED_IMAGE,KEEP_EXISTING,688,INVENTORY_MARQUEE,SAFE_TYPED_FRAGMENT_STAGE,,,ORDINARY_MARQUEE_CANDIDATE,0,,,
database:32,RETAIN_EXISTING,32,fragments/1828/01/28-img2837-left,1828-01-28,1,1,1,AUTO_MATCHED_EXACT,MATCHED_CONTENT,false,MARQUEE,NO_EMBEDDED_IMAGE,KEEP_EXISTING,689,INVENTORY_MARQUEE,SAFE_TYPED_FRAGMENT_STAGE,,,ORDINARY_MARQUEE_CANDIDATE,0,,,
database:33,RETAIN_EXISTING,33,fragments/1828/01/29-img2837-left,1828-01-29,1,1,1,AUTO_MATCHED_EXACT,MATCHED_CONTENT,false,MARQUEE,NO_EMBEDDED_IMAGE,KEEP_EXISTING,689,INVENTORY_MARQUEE,SAFE_TYPED_FRAGMENT_STAGE,,,ORDINARY_MARQUEE_CANDIDATE,0,,,
database:34,RETAIN_EXISTING,34,fragments/1828/01/30-img2837-left,1828-01-30,1,1,1,AUTO_MATCHED_EXACT,MATCHED_CONTENT,false,MARQUEE,NO_EMBEDDED_IMAGE,KEEP_EXISTING,689,INVENTORY_MARQUEE,SAFE_TYPED_FRAGMENT_STAGE,,,ORDINARY_MARQUEE_CANDIDATE,0,,,
database:35,RETAIN_EXISTING,35,fragments/1828/01/31-img2837-left,1828-01-31,1,1,1,AUTO_MATCHED_EXACT,MATCHED_CONTENT,false,MARQUEE,NO_EMBEDDED_IMAGE,KEEP_EXISTING,689,INVENTORY_MARQUEE,SAFE_TYPED_FRAGMENT_STAGE,,,ORDINARY_MARQUEE_CANDIDATE,0,,,
database:36,RETAIN_EXISTING,36,fragments/1828/02/01-img2837-left,1828-02-01,1,1,1,AUTO_MATCHED_EXACT,MATCHED_CONTENT,false,MARQUEE,NO_EMBEDDED_IMAGE,KEEP_EXISTING,689,INVENTORY_MARQUEE,SAFE_TYPED_FRAGMENT_STAGE,,,ORDINARY_MARQUEE_CANDIDATE,0,,,
database:37,RETAIN_EXISTING,37,fragments/1828/02/02-img2837-left,1828-02-02,1,1,1,AUTO_MATCHED_EXACT,MATCHED_CONTENT,false,MARQUEE,NO_EMBEDDED_IMAGE,KEEP_EXISTING,689,INVENTORY_MARQUEE,SAFE_TYPED_FRAGMENT_STAGE,,,ORDINARY_MARQUEE_CANDIDATE,0,,,
database:38,RETAIN_EXISTING,38,fragments/1828/02/03-img2837-right,1828-02-03,1,1,1,AUTO_MATCHED_EXACT,MATCHED_CONTENT,false,MARQUEE,NO_EMBEDDED_IMAGE,KEEP_EXISTING,689,INVENTORY_MARQUEE,SAFE_TYPED_FRAGMENT_STAGE,,,ORDINARY_MARQUEE_CANDIDATE,0,,,
database:39,RETAIN_EXISTING,39,fragments/1828/02/04-img2837-right,1828-02-04,1,1,1,AUTO_MATCHED_EXACT,MATCHED_CONTENT,false,MARQUEE,NO_EMBEDDED_IMAGE,KEEP_EXISTING,689,INVENTORY_MARQUEE,SAFE_TYPED_FRAGMENT_STAGE,,,ORDINARY_MARQUEE_CANDIDATE,0,,,
database:40,RETAIN_EXISTING,40,fragments/1828/02/05-img2837-right,1828-02-05,1,1,1,AUTO_MATCHED_EXACT,MATCHED_CONTENT,false,MARQUEE,NO_EMBEDDED_IMAGE,KEEP_EXISTING,689,INVENTORY_MARQUEE,SAFE_TYPED_FRAGMENT_STAGE,,,ORDINARY_MARQUEE_CANDIDATE,0,,,
database:41,RETAIN_EXISTING,41,fragments/1828/02/06-img2837-right,1828-02-06,1,1,1,AUTO_MATCHED_EXACT,MATCHED_CONTENT,false,MARQUEE,NO_EMBEDDED_IMAGE,KEEP_EXISTING,689,INVENTORY_MARQUEE,SAFE_TYPED_FRAGMENT_STAGE,,,ORDINARY_MARQUEE_CANDIDATE,0,,,
database:42,RETAIN_EXISTING,42,fragments/1828/02/07-img2837-right,1828-02-07,1,1,1,AUTO_MATCHED_EXACT,MATCHED_CONTENT,false,MARQUEE,NO_EMBEDDED_IMAGE,KEEP_EXISTING,689,INVENTORY_MARQUEE,SAFE_TYPED_FRAGMENT_STAGE,,,ORDINARY_MARQUEE_CANDIDATE,0,,,
database:43,RETAIN_EXISTING,43,fragments/1828/02/08-img2838-left,1828-02-08,1,1,1,AUTO_MATCHED_EXACT,MATCHED_CONTENT,false,MARQUEE,NO_EMBEDDED_IMAGE,KEEP_EXISTING,690,INVENTORY_MARQUEE,SAFE_TYPED_FRAGMENT_STAGE,,,ORDINARY_MARQUEE_CANDIDATE,0,,,
database:44,RETAIN_EXISTING,44,fragments/1828/02/09-img2838-left,1828-02-09,1,1,1,AUTO_MATCHED_EXACT,MATCHED_CONTENT,false,MARQUEE,NO_EMBEDDED_IMAGE,KEEP_EXISTING,690,INVENTORY_MARQUEE,SAFE_TYPED_FRAGMENT_STAGE,,,ORDINARY_MARQUEE_CANDIDATE,0,,,
database:45,RETAIN_EXISTING,45,fragments/1828/02/10-img2838-left,1828-02-10,1,1,1,AUTO_MATCHED_EXACT,MATCHED_CONTENT,false,MARQUEE,NO_EMBEDDED_IMAGE,KEEP_EXISTING,690,INVENTORY_MARQUEE,SAFE_TYPED_FRAGMENT_STAGE,,,ORDINARY_MARQUEE_CANDIDATE,0,,,
database:46,RETAIN_EXISTING,46,fragments/1828/02/11-img2838-left,1828-02-11,1,1,1,AUTO_MATCHED_EXACT,MATCHED_CONTENT,false,MARQUEE,NO_EMBEDDED_IMAGE,KEEP_EXISTING,690,INVENTORY_MARQUEE,SAFE_TYPED_FRAGMENT_STAGE,,,ORDINARY_MARQUEE_CANDIDATE,0,,,
database:47,RETAIN_EXISTING,47,fragments/1828/02/12-img2838-left,1828-02-12,1,1,1,AUTO_MATCHED_EXACT,MATCHED_CONTENT,false,MARQUEE,NO_EMBEDDED_IMAGE,KEEP_EXISTING,690,INVENTORY_MARQUEE,SAFE_TYPED_FRAGMENT_STAGE,,,ORDINARY_MARQUEE_CANDIDATE,0,,,
database:48,RETAIN_EXISTING,48,fragments/1828/02/13-img2838-left,1828-02-13,1,1,1,AUTO_MATCHED_EXACT,MATCHED_CONTENT,false,MARQUEE,NO_EMBEDDED_IMAGE,KEEP_EXISTING,690,INVENTORY_MARQUEE,SAFE_TYPED_FRAGMENT_STAGE,,,ORDINARY_MARQUEE_CANDIDATE,0,,,
database:49,RETAIN_EXISTING,49,fragments/1828/02/14-img2838-left,1828-02-14,1,1,1,AUTO_MATCHED_EXACT,MATCHED_CONTENT,false,MARQUEE,NO_EMBEDDED_IMAGE,KEEP_EXISTING,690,INVENTORY_MARQUEE,SAFE_TYPED_FRAGMENT_STAGE,,,ORDINARY_MARQUEE_CANDIDATE,0,,,
database:50,RETAIN_EXISTING,50,fragments/1828/02/15-img2838-right,1828-02-15,1,1,1,AUTO_MATCHED_EXACT,MATCHED_CONTENT,false,MARQUEE,NO_EMBEDDED_IMAGE,KEEP_EXISTING,690,INVENTORY_MARQUEE,SAFE_TYPED_FRAGMENT_STAGE,,,ORDINARY_MARQUEE_CANDIDATE,0,,,
database:51,RETAIN_EXISTING,51,fragments/1828/02/16-img2838-right,1828-02-16,1,1,1,AUTO_MATCHED_EXACT,MATCHED_CONTENT,false,MARQUEE,NO_EMBEDDED_IMAGE,KEEP_EXISTING,690,INVENTORY_MARQUEE,SAFE_TYPED_FRAGMENT_STAGE,,,ORDINARY_MARQUEE_CANDIDATE,0,,,
database:52,RETAIN_EXISTING,52,fragments/1828/02/17-img2838-right,1828-02-17,1,1,1,AUTO_MATCHED_EXACT,MATCHED_CONTENT,false,MARQUEE,NO_EMBEDDED_IMAGE,KEEP_EXISTING,690,INVENTORY_MARQUEE,SAFE_TYPED_FRAGMENT_STAGE,,,ORDINARY_MARQUEE_CANDIDATE,0,,,
database:53,RETAIN_EXISTING,53,fragments/1828/02/18-img2838-right,1828-02-18,1,1,1,AUTO_MATCHED_EXACT,MATCHED_CONTENT,false,MARQUEE,NO_EMBEDDED_IMAGE,KEEP_EXISTING,690,INVENTORY_MARQUEE,SAFE_TYPED_FRAGMENT_STAGE,,,ORDINARY_MARQUEE_CANDIDATE,0,,,
database:54,RETAIN_EXISTING,54,fragments/1828/02/19-img2838-right,1828-02-19,1,1,1,AUTO_MATCHED_EXACT,MATCHED_CONTENT,false,MARQUEE,NO_EMBEDDED_IMAGE,KEEP_EXISTING,690,INVENTORY_MARQUEE,SAFE_TYPED_FRAGMENT_STAGE,,,ORDINARY_MARQUEE_CANDIDATE,0,,,
database:55,RETAIN_EXISTING,55,fragments/1828/02/20-img2838-right,1828-02-20,1,1,1,AUTO_MATCHED_EXACT,MATCHED_CONTENT,false,MARQUEE,NO_EMBEDDED_IMAGE,KEEP_EXISTING,690,INVENTORY_MARQUEE,SAFE_TYPED_FRAGMENT_STAGE,,,ORDINARY_MARQUEE_CANDIDATE,0,,,
database:56,RETAIN_EXISTING,56,fragments/1828/02/21-img2838-right,1828-02-21,1,1,1,AUTO_MATCHED_EXACT,MATCHED_CONTENT,false,MARQUEE,NO_EMBEDDED_IMAGE,KEEP_EXISTING,690,INVENTORY_MARQUEE,SAFE_TYPED_FRAGMENT_STAGE,,,ORDINARY_MARQUEE_CANDIDATE,0,,,
database:57,RETAIN_EXISTING,57,fragments/1828/02/22-img2839-left,1828-02-22,1,1,1,AUTO_MATCHED_EXACT,MATCHED_CONTENT,false,MARQUEE,NO_EMBEDDED_IMAGE,KEEP_EXISTING,691,INVENTORY_MARQUEE,SAFE_TYPED_FRAGMENT_STAGE,,,ORDINARY_MARQUEE_CANDIDATE,0,,,
database:58,RETAIN_EXISTING,58,fragments/1828/02/23-img2839-left,1828-02-23,1,1,1,AUTO_MATCHED_EXACT,MATCHED_CONTENT,false,MARQUEE,NO_EMBEDDED_IMAGE,KEEP_EXISTING,691,INVENTORY_MARQUEE,SAFE_TYPED_FRAGMENT_STAGE,,,ORDINARY_MARQUEE_CANDIDATE,0,,,
database:59,RETAIN_EXISTING,59,fragments/1828/02/24-img2839-left,1828-02-24,1,1,1,AUTO_MATCHED_EXACT,MATCHED_CONTENT,false,MARQUEE,NO_EMBEDDED_IMAGE,KEEP_EXISTING,691,INVENTORY_MARQUEE,SAFE_TYPED_FRAGMENT_STAGE,,,ORDINARY_MARQUEE_CANDIDATE,0,,,
database:60,RETAIN_EXISTING,60,fragments/1828/02/25-img2839-left,1828-02-25,1,1,1,AUTO_MATCHED_EXACT,MATCHED_CONTENT,false,MARQUEE,NO_EMBEDDED_IMAGE,KEEP_EXISTING,691,INVENTORY_MARQUEE,SAFE_TYPED_FRAGMENT_STAGE,,,ORDINARY_MARQUEE_CANDIDATE,0,,,
database:61,RETAIN_EXISTING,61,fragments/1828/02/26-img2839-left,1828-02-26,1,1,1,AUTO_MATCHED_EXACT,MATCHED_CONTENT,false,MARQUEE,NO_EMBEDDED_IMAGE,KEEP_EXISTING,691,INVENTORY_MARQUEE,SAFE_TYPED_FRAGMENT_STAGE,,,ORDINARY_MARQUEE_CANDIDATE,0,,,
database:62,RETAIN_EXISTING,62,fragments/1828/02/27-img2839-left,1828-02-27,1,1,1,AUTO_MATCHED_EXACT,MATCHED_CONTENT,false,MARQUEE,NO_EMBEDDED_IMAGE,KEEP_EXISTING,691,INVENTORY_MARQUEE,SAFE_TYPED_FRAGMENT_STAGE,,,ORDINARY_MARQUEE_CANDIDATE,0,,,
database:63,RETAIN_EXISTING,63,fragments/1828/02/28-img2839-left,1828-02-28,1,1,1,AUTO_MATCHED_EXACT,MATCHED_CONTENT,false,MARQUEE,NO_EMBEDDED_IMAGE,KEEP_EXISTING,691,INVENTORY_MARQUEE,SAFE_TYPED_FRAGMENT_STAGE,,,ORDINARY_MARQUEE_CANDIDATE,0,,,
database:64,RETAIN_EXISTING,64,fragments/1828/02/29-img2839-left,1828-02-29,1,1,1,AUTO_MATCHED_EXACT,MATCHED_CONTENT,false,MARQUEE,NO_EMBEDDED_IMAGE,KEEP_EXISTING,691,INVENTORY_MARQUEE,SAFE_TYPED_FRAGMENT_STAGE,,,ORDINARY_MARQUEE_CANDIDATE,0,,,
database:65,RETAIN_EXISTING,65,fragments/1828/03/01-img2839-right,1828-03-01,1,1,1,AUTO_MATCHED_EXACT,MATCHED_CONTENT,false,MARQUEE,NO_EMBEDDED_IMAGE,KEEP_EXISTING,691,INVENTORY_MARQUEE,SAFE_TYPED_FRAGMENT_STAGE,,,ORDINARY_MARQUEE_CANDIDATE,0,,,
database:66,RETAIN_EXISTING,66,fragments/1828/03/02-img2839-right,1828-03-02,1,1,1,AUTO_MATCHED_EXACT,MATCHED_CONTENT,false,MARQUEE,NO_EMBEDDED_IMAGE,KEEP_EXISTING,691,INVENTORY_MARQUEE,SAFE_TYPED_FRAGMENT_STAGE,,,ORDINARY_MARQUEE_CANDIDATE,0,,,
database:67,RETAIN_EXISTING,67,fragments/1828/03/03-img2839-right,1828-03-03,1,1,1,AUTO_MATCHED_EXACT,MATCHED_CONTENT,false,MARQUEE,NO_EMBEDDED_IMAGE,KEEP_EXISTING,691,INVENTORY_MARQUEE,SAFE_TYPED_FRAGMENT_STAGE,,,ORDINARY_MARQUEE_CANDIDATE,0,,,
database:68,RETAIN_EXISTING,68,fragments/1828/03/04-img2839-right,1828-03-04,1,1,1,AUTO_MATCHED_EXACT,MATCHED_CONTENT,false,MARQUEE,NO_EMBEDDED_IMAGE,KEEP_EXISTING,691,INVENTORY_MARQUEE,SAFE_TYPED_FRAGMENT_STAGE,,,ORDINARY_MARQUEE_CANDIDATE,0,,,
database:69,RETAIN_EXISTING,69,fragments/1828/03/05-img2839-right,1828-03-05,1,1,1,AUTO_MATCHED_EXACT,MATCHED_CONTENT,false,MARQUEE,NO_EMBEDDED_IMAGE,KEEP_EXISTING,691,INVENTORY_MARQUEE,SAFE_TYPED_FRAGMENT_STAGE,,,ORDINARY_MARQUEE_CANDIDATE,0,,,
database:70,RETAIN_EXISTING,70,fragments/1828/03/06-img2839-right,1828-03-06,1,1,1,AUTO_MATCHED_EXACT,MATCHED_CONTENT,false,MARQUEE,NO_EMBEDDED_IMAGE,KEEP_EXISTING,691,INVENTORY_MARQUEE,SAFE_TYPED_FRAGMENT_STAGE,,,ORDINARY_MARQUEE_CANDIDATE,0,,,
database:71,RETAIN_EXISTING,71,fragments/1828/03/07-img2839-right,1828-03-07,1,1,1,AUTO_MATCHED_EXACT,MATCHED_CONTENT,false,MARQUEE,NO_EMBEDDED_IMAGE,KEEP_EXISTING,691,INVENTORY_MARQUEE,SAFE_TYPED_FRAGMENT_STAGE,,,ORDINARY_MARQUEE_CANDIDATE,0,,,
database:72,RETAIN_EXISTING,72,fragments/1828/03/08-img2839-right,1828-03-08,1,1,1,AUTO_MATCHED_EXACT,MATCHED_CONTENT,false,MARQUEE,NO_EMBEDDED_IMAGE,KEEP_EXISTING,691,INVENTORY_MARQUEE,SAFE_TYPED_FRAGMENT_STAGE,,,ORDINARY_MARQUEE_CANDIDATE,0,,,
database:73,RETAIN_EXISTING,73,fragments/1828/03/09-img2840-left,1828-03-09,1,1,1,AUTO_MATCHED_EXACT,MATCHED_CONTENT,false,MARQUEE,NO_EMBEDDED_IMAGE,KEEP_EXISTING,692,INVENTORY_MARQUEE,SAFE_TYPED_FRAGMENT_STAGE,,,ORDINARY_MARQUEE_CANDIDATE,0,,,
database:74,RETAIN_EXISTING,74,fragments/1828/03/10-img2840-left,1828-03-10,1,1,1,AUTO_MATCHED_EXACT,MATCHED_CONTENT,false,MARQUEE,NO_EMBEDDED_IMAGE,KEEP_EXISTING,692,INVENTORY_MARQUEE,SAFE_TYPED_FRAGMENT_STAGE,,,ORDINARY_MARQUEE_CANDIDATE,0,,,
database:75,RETAIN_EXISTING,75,fragments/1828/03/11-img2840-left,1828-03-11,1,1,1,AUTO_MATCHED_EXACT,MATCHED_CONTENT,false,MARQUEE,NO_EMBEDDED_IMAGE,KEEP_EXISTING,692,INVENTORY_MARQUEE,SAFE_TYPED_FRAGMENT_STAGE,,,ORDINARY_MARQUEE_CANDIDATE,0,,,
database:76,RETAIN_EXISTING,76,fragments/1828/03/12-img2840-left,1828-03-12,1,1,1,AUTO_MATCHED_EXACT,MATCHED_CONTENT,false,MARQUEE,NO_EMBEDDED_IMAGE,KEEP_EXISTING,692,INVENTORY_MARQUEE,SAFE_TYPED_FRAGMENT_STAGE,,,ORDINARY_MARQUEE_CANDIDATE,0,,,
